0,1.0
1,2.0
2,1.0
3,1.0
4,2.0
5,1.0
6,4.0
7,3.0
8,4.0
9,1.0
10,3.0
11,2.0
12,4.0
13,3.0
14,1.0
15,2.0
16,1.0
17,3.0
18,1.0
19,2.0
20,2.0
21,2.0
22,2.0
23,3.0
24,2.0
25,3.0
26,3.0
27,4.0
28,2.0
29,2.0
30,2.0
31,1.0
32,3.0
33,4.0
34,2.0
35,1.0
36,2.0
37,2.0
38,1.0
39,2.0
40,3.0
41,1.0
42,2.0
43,2.0
44,3.0
45,1.0
46,1.0
47,2.0
48,3.0
49,1.0
50,1.0
51,2.0
52,2.0
53,1.0
54,2.0
55,2.0
56,2.0
57,1.0
58,4.0
59,2.0
60,4.0
61,2.0
62,3.0
63,3.0
64,2.0
65,1.0
66,4.0
67,1.0
68,1.0
69,2.0
70,2.0
71,4.0
72,2.0
73,1.0
74,2.0
75,1.0
76,1.0
77,2.0
78,2.0
79,3.0
80,2.0
81,4.0
82,3.0
83,3.0
84,4.0
85,2.0
86,4.0
87,2.0
88,4.0
89,2.0
90,1.0
91,2.0
92,2.0
93,2.0
94,4.0
95,1.0
96,2.0
97,4.0
98,4.0
99,1.0
